Date (undefined);px (au);py (au);pz (au);Dobs (au);Phase (deg);VMag (mag);vx (au/d);vy (au/d);vz (au/d);RV (km/s)
2020-01-01T00:00:00.000;-1.320177265628;-0.885670088286;0.013832436183;1.589802143116;0;0.49;0.008320039825;-0.010423326248;-0.000422555358;-1.9147984
2020-01-02T00:00:00.000;-1.311808627675;-0.896060719623;0.013409373641;1.588693331073;0;0.49;0.008417059732;-0.010357652388;-0.000423559448;-1.9248774
2020-01-03T00:00:00.000;-1.30334317719;-0.906385225417;0.012985321564;1.587578732837;0;0.49;0.008513661727;-0.010291075412;-0.000424534355;-1.9348351
2020-01-04T00:00:00.000;-1.294781336155;-0.916642702824;0.012560309228;1.586458418763;0;0.48;0.008609837661;-0.010223595908;-0.000425479893;-1.9446704
2020-01-05T00:00:00.000;-1.286123534725;-0.926832249626;0.012134366098;1.585332459884;0;0.48;0.008705579337;-0.01015521453;-0.000426395874;-1.9543821
2020-01-06T00:00:00.000;-1.277370211276;-0.936952964283;0.011707521824;1.584200927913;0;0.48;0.008800878513;-0.010085931989;-0.00042728211;-1.9639691
2020-01-07T00:00:00.000;-1.26852181245;-0.947003946002;0.011279806245;1.583063895247;0;0.47;0.008895726897;-0.010015749065;-0.000428138415;-1.9734301
2020-01-08T00:00:00.000;-1.259578793206;-0.956984294802;0.010851249385;1.581921434966;0;0.47;0.00899011615;-0.0099446666;-0.000428964602;-1.982764
2020-01-09T00:00:00.000;-1.250541616863;-0.966893111576;0.010421881456;1.580773620837;0;0.47;0.009084037888;-0.009872685503;-0.000429760484;-1.9919695
2020-01-10T00:00:00.000;-1.24141075515;-0.97672949816;0.009991732858;1.579620527311;0;0.47;0.009177483679;-0.009799806751;-0.000430525874;-2.0010456
2020-01-11T00:00:00.000;-1.232186688251;-0.986492557399;0.009560834175;1.578462229531;0;0.46;0.009270445045;-0.009726031387;-0.000431260587;-2.009991
2020-01-12T00:00:00.000;-1.222869904853;-0.99618139322;0.009129216177;1.577298803328;0;0.46;0.009362913458;-0.009651360528;-0.000431964437;-2.0188045
2020-01-13T00:00:00.000;-1.21346090219;-1.005795110701;0.008696909821;1.576130325225;0;0.46;0.009454880349;-0.00957579536;-0.000432637238;-2.0274849
2020-01-14T00:00:00.000;-1.203960186093;-1.01533281614;0.008263946248;1.574956872437;0;0.45;0.0095463371;-0.009499337143;-0.000433278805;-2.0360309
2020-01-15T00:00:00.000;-1.194368271034;-1.024793617135;0.007830356786;1.573778522874;0;0.45;0.009637275046;-0.009421987208;-0.000433888955;-2.0444415
2020-01-16T00:00:00.000;-1.184685680169;-1.03417662265;0.007396172943;1.57259535514;0;0.45;0.009727685478;-0.009343746965;-0.000434467502;-2.0527154
2020-01-17T00:00:00.000;-1.17491294539;-1.0434809431;0.006961426416;1.571407448536;0;0.44;0.009817559643;-0.009264617898;-0.000435014263;-2.0608514
2020-01-18T00:00:00.000;-1.165050607364;-1.05270569042;0.006526149081;1.57021488306;0;0.44;0.00990688874;-0.009184601571;-0.000435529055;-2.0688483
2020-01-19T00:00:00.000;-1.155099215579;-1.06184997815;0.006090373;1.569017739406;0;0.44;0.009995663925;-0.009103699626;-0.000436011695;-2.0767048
2020-01-20T00:00:00.000;-1.145059328393;-1.070912921512;0.005654130416;1.56781609897;0;0.43;0.01008387631;-0.009021913786;-0.000436462002;-2.0844198
2020-01-21T00:00:00.000;-1.134931513072;-1.079893637492;0.005217453752;1.566610043847;0;0.43;0.010171516963;-0.008939245856;-0.000436879795;-2.0919921
2020-01-22T00:00:00.000;-1.124716345837;-1.088791244924;0.004780375615;1.565399656831;0;0.43;0.010258576908;-0.008855697726;-0.000437264892;-2.0994204
2020-01-23T00:00:00.000;-1.114414411906;-1.097604864572;0.00434292879;1.564185021417;0;0.42;0.010345047126;-0.00877127137;-0.000437617114;-2.1067035
2020-01-24T00:00:00.000;-1.104026305539;-1.106333619218;0.003905146242;1.562966221804;0;0.42;0.010430918556;-0.008685968847;-0.000437936283;-2.1138402
2020-01-25T00:00:00.000;-1.093552630076;-1.114976633749;0.003467061114;1.561743342891;0;0.42;0.010516182096;-0.008599792306;-0.000438222219;-2.1208294
2020-01-26T00:00:00.000;-1.082993997982;-1.123533035242;0.003028706728;1.560516470278;0;0.41;0.0106008286;-0.008512743985;-0.000438474746;-2.1276697
2020-01-27T00:00:00.000;-1.072351030888;-1.13200195306;0.002590116582;1.55928569027;0;0.41;0.010684848884;-0.008424826211;-0.000438693687;-2.1343599
2020-01-28T00:00:00.000;-1.06162435963;-1.140382518939;0.00215132435;1.558051089874;0;0.41;0.010768233723;-0.008336041407;-0.000438878867;-2.140899
2020-01-29T00:00:00.000;-1.050814624287;-1.148673867083;0.00171236388;1.556812756797;0;0.4;0.010850973851;-0.008246392086;-0.000439030112;-2.1472855
2020-01-30T00:00:00.000;-1.039922474227;-1.156875134257;0.001273269195;1.55557077945;0;0.4;0.010933059966;-0.008155880857;-0.000439147248;-2.1535184
2020-01-31T00:00:00.000;-1.028948568135;-1.164985459884;0.000834074491;1.554325246945;0;0.4;0.011014482727;-0.008064510426;-0.000439230103;-2.1595963
2020-02-01T00:00:00.000;-1.017893574061;-1.173003986143;0.000394814133;1.553076249094;0;0.39;0.011095232754;-0.007972283598;-0.000439278506;-2.1655182
2020-02-02T00:00:00.000;-1.00675816945;-1.180929858065;-0.00004447734;1.551823876411;0;0.39;0.011175300632;-0.007879203274;-0.000439292288;-2.1712827
2020-02-03T00:00:00.000;-0.995543041179;-1.188762223633;-0.000483765222;1.550568220107;0;0.38;0.011254676913;-0.00778527246;-0.000439271281;-2.1768887
2020-02-04T00:00:00.000;-0.984248885596;-1.196500233888;-0.00092301464;1.54930937209;0;0.38;0.011333352109;-0.00769049426;-0.000439215316;-2.182335
2020-02-05T00:00:00.000;-0.972876408549;-1.204143043026;-0.001362190553;1.548047424965;0;0.38;0.011411316702;-0.007594871883;-0.000439124229;-2.1876203
2020-02-06T00:00:00.000;-0.961426325424;-1.211689808504;-0.001801257756;1.54678247203;0;0.37;0.01148856114;-0.007498408643;-0.000438997854;-2.1927435
2020-02-07T00:00:00.000;-0.949899361175;-1.219139691148;-0.002240180878;1.545514607275;0;0.37;0.011565075837;-0.00740110796;-0.000438836029;-2.1977033
2020-02-08T00:00:00.000;-0.938296250357;-1.226491855253;-0.002678924389;1.54424392538;0;0.37;0.011640851177;-0.00730297336;-0.000438638592;-2.2024987
2020-02-09T00:00:00.000;-0.926617737158;-1.2337454687;-0.003117452595;1.54297052171;0;0.36;0.011715877511;-0.007204008479;-0.000438405383;-2.2071283
2020-02-10T00:00:00.000;-0.914864575431;-1.240899703057;-0.003555729644;1.541694492317;0;0.36;0.011790145162;-0.007104217062;-0.000438136242;-2.211591
2020-02-11T00:00:00.000;-0.90303752872;-1.247953733695;-0.003993719526;1.540415933934;0;0.36;0.011863644421;-0.007003602967;-0.000437831014;-2.2158856
2020-02-12T00:00:00.000;-0.891137370294;-1.254906739899;-0.004431386074;1.539134943974;0;0.35;0.011936365551;-0.006902170165;-0.000437489541;-2.220011
2020-02-13T00:00:00.000;-0.879164883172;-1.261757904982;-0.004868692967;1.537851620528;0;0.35;0.012008298787;-0.006799922743;-0.00043711167;-2.223966
2020-02-14T00:00:00.000;-0.867120860153;-1.268506416405;-0.005305603728;1.536566062363;0;0.35;0.012079434337;-0.006696864905;-0.000436697248;-2.2277493
2020-02-15T00:00:00.000;-0.855006103843;-1.275151465891;-0.005742081731;1.53527836892;0;0.34;0.012149762381;-0.006593000975;-0.000436246125;-2.2313599
2020-02-16T00:00:00.000;-0.842821426676;-1.281692249546;-0.0061780902;1.533988640313;0;0.34;0.012219273077;-0.006488335396;-0.000435758151;-2.2347966
2020-02-17T00:00:00.000;-0.830567650945;-1.288127967984;-0.006613592209;1.532696977325;0;0.33;0.012287956558;-0.006382872737;-0.000435233179;-2.2380582
2020-02-18T00:00:00.000;-0.818245608819;-1.294457826448;-0.007048550687;1.531403481409;0;0.33;0.012355802936;-0.00627661769;-0.000434671065;-2.2411436
