Date (undefined);px (au);py (au);pz (au);Dobs (au);Phase (deg);VMag (mag);vx (au/d);vy (au/d);vz (au/d);RV (km/s)
2020-01-01T00:00:00.000;-0.063376914555;-0.460840771729;-0.031843475826;0.466266937643;0;-3.91;0.022227817799;-0.002402398219;-0.002235382388;-0.8556711
2020-01-02T00:00:00.000;-0.041067254137;-0.462568717937;-0.034031253385;0.465633401275;0;-3.92;0.022380566865;-0.001051720866;-0.002139024588;-1.3379958
2020-01-03T00:00:00.000;-0.018637250115;-0.462940943505;-0.036119288313;0.464721709471;0;-3.93;0.022468300941;0.000308789266;-0.002035899144;-1.8187954
2020-01-04T00:00:00.000;0.003847660254;-0.461948352598;-0.038100834449;0.463532909881;0;-3.94;0.022490147156;0.001677642361;-0.001926047725;-2.2974844
2020-01-05T00:00:00.000;0.026321079568;-0.459583364727;-0.039969181383;0.462068397344;0;-3.95;0.022445058158;0.003053293274;-0.001809500515;-2.7734446
2020-01-06T00:00:00.000;0.048715473859;-0.455839983141;-0.041717643856;0.460329935408;0;-3.97;0.022331808319;0.004434115194;-0.001686278018;-3.2460159
2020-01-07T00:00:00.000;0.07096199262;-0.450713890417;-0.043339553065;0.458319683487;0;-3.99;0.022148990478;0.005818371498;-0.001556393056;-3.7144859
2020-01-08T00:00:00.000;0.092990285957;-0.444202573287;-0.044828250089;0.456040230027;0;-4.01;0.021895013472;0.007204185368;-0.00141985303;-4.1780794
2020-01-09T00:00:00.000;0.11472831977;-0.436305479159;-0.046177081723;0.453494632138;0;-4.03;0.021568100733;0.008589506712;-0.001276662491;-4.6359469
2020-01-10T00:00:00.000;0.136102190243;-0.427024207256;-0.047379399083;0.450686462221;0;-4.06;0.021166290385;0.009972075928;-0.001126826112;-5.0871514
2020-01-11T00:00:00.000;0.157035939394;-0.416362737785;-0.048428559407;0.447619862208;0;-4.09;0.020687437365;0.011349384009;-0.000970352139;-5.5306555
2020-01-12T00:00:00.000;0.177451374034;-0.404327703048;-0.049317931605;0.444299606096;0;-4.12;0.020129218246;0.01271862848;-0.000807256439;-5.9653054
2020-01-13T00:00:00.000;0.197267891261;-0.390928704916;-0.050040906191;0.440731171512;0;-4.16;0.019489139639;0.014076664654;-0.00063756725;-6.3898156
2020-01-14T00:00:00.000;0.216402314576;-0.376178683596;-0.050590910384;0.436920821155;0;-4.2;0.01876455124;0.01541995173;-0.000461330783;-6.8027503
2020-01-15T00:00:00.000;0.234768745938;-0.360094343076;-0.050961429297;0.432875694929;0;-4.24;0.017952664888;0.016744493283;-0.000278617835;-7.2025046
2020-01-16T00:00:00.000;0.252278440555;-0.342696639031;-0.051146034329;0.428603913654;0;-4.28;0.017050581276;0.018045771821;-0.000089531586;-7.5872833
2020-01-17T00:00:00.000;0.268839713047;-0.324011335233;-0.051138420015;0.424114695186;0;-4.33;0.016055326357;0.019318677234;0.000105783215;-7.9550792
2020-01-18T00:00:00.000;0.284357885878;-0.304069634536;-0.050932450859;0.419418483687;0;-4.37;0.014963899873;0.020557429236;0.000307129462;-8.3036495
2020-01-19T00:00:00.000;0.298735293581;-0.282908890266;-0.050522219854;0.414527092627;0;-4.42;0.013773338952;0.021755494266;0.000514245062;-8.6304917
2020-01-20T00:00:00.000;0.311871359544;-0.260573403069;-0.04990212064;0.40945386179;0;-4.48;0.012480800192;0.022905497911;0.000726788257;-8.9328193
2020-01-21T00:00:00.000;0.323662765775;-0.237115306868;-0.049066935469;0.404213828136;0;-4.53;0.011083664219;0.023999134652;0.00094432065;-9.2075385
2020-01-22T00:00:00.000;0.334003740328;-0.212595545264;-0.048011941365;0.39882390968;0;-4.59;0.009579667185;0.025027077838;0.001166287789;-9.4512267
2020-01-23T00:00:00.000;0.342786491746;-0.187084936126;-0.046733036964;0.393303100665;0;-4.65;0.007967064098;0.025978894179;0.001391997196;-9.6601149
2020-01-24T00:00:00.000;0.349901824895;-0.16066531696;-0.045226892604;0.387672675015;0;-4.72;0.006244829041;0.026842968901;0.001620593885;-9.8300775
2020-01-25T00:00:00.000;0.355239977549;-0.133430756364;-0.043491126061;0.381956393374;0;-4.78;0.004412897185;0.027606450011;0.001851033606;-9.9566306
2020-01-26T00:00:00.000;0.358691721701;-0.105488807101;-0.041524505973;0.37618070689;0;-4.85;0.002472452686;0.028255222895;0.002082054357;-10.0349455
2020-01-27T00:00:00.000;0.36014977683;-0.076961763484;-0.039327184235;0.370374948139;0;-4.91;0.000426264867;0.028773929743;0.002312147135;-10.0598809
2020-01-28T00:00:00.000;0.359510583475;-0.047987869535;-0.036900957417;0.364571496296;0;-4.98;-0.001720927903;0.029146051776;0.002539527439;-10.026041
2020-01-29T00:00:00.000;0.356676482618;-0.018722404648;-0.034249555406;0.358805899803;0;-5.05;-0.003961991886;0.029354075744;0.002762109766;-9.9278657
2020-01-30T00:00:00.000;0.351558337951;0.010661449474;-0.031378952803;0.353116935542;0;-5.12;-0.006286941301;0.029379768925;0.00297748819;-9.7597613
2020-01-31T00:00:00.000;0.344078621583;0.039972081851;-0.028297695048;0.347546579184;0;-5.19;-0.008682472594;0.029204588094;0.003182927055;-9.5162787
